# Target Sample Rate: 500 Hz
time,gFx,gFy,gFz,TgF
0.001343,-0.0017,0.0645,0.9931,1.00
0.002401,-0.0024,0.0630,0.9970,1.00
0.006726,-0.0054,0.0621,1.0051,1.01
0.007746,-0.0056,0.0613,1.0092,1.01
0.013799,-0.0073,0.0613,1.0134,1.02
0.015952,-0.0095,0.0621,1.0190,1.02
0.019297,-0.0115,0.0623,1.0190,1.02
0.020088,-0.0127,0.0635,1.0180,1.02
0.023160,-0.0129,0.0640,1.0161,1.02
0.034175,-0.0117,0.0640,1.0146,1.02
0.036680,-0.0049,0.0562,1.0012,1.00
0.039576,-0.0034,0.0542,0.9992,1.00
0.041221,-0.0017,0.0528,0.9970,1.00
0.045276,-0.0010,0.0515,0.9953,1.00
0.045376,0.0005,0.0498,0.9931,0.99
0.047854,0.0012,0.0489,0.9912,0.99
0.048890,0.0024,0.0486,0.9892,0.99
0.051784,0.0032,0.0474,0.9885,0.99
0.052989,0.0044,0.0457,0.9890,0.99
0.055939,0.0044,0.0447,0.9904,0.99
0.057217,0.0034,0.0450,0.9894,0.99
0.062114,0.0017,0.0462,0.9880,0.99
0.062238,-0.0002,0.0474,0.9877,0.99
0.064328,-0.0029,0.0493,0.9877,0.99
0.065438,-0.0068,0.0515,0.9877,0.99
0.068298,-0.0115,0.0542,0.9875,0.99
0.069370,-0.0161,0.0567,0.9865,0.99
0.072042,-0.0210,0.0594,0.9875,0.99
0.073535,-0.0257,0.0623,0.9885,0.99
0.078490,-0.0308,0.0652,0.9875,0.99
0.080767,-0.0388,0.0721,0.9909,0.99
0.084796,-0.0479,0.0794,0.9931,1.00
0.085919,-0.0520,0.0818,0.9938,1.00
0.088844,-0.0557,0.0865,0.9963,1.00
0.089942,-0.0577,0.0877,0.9948,1.00
0.095085,-0.0594,0.0887,0.9926,1.00
0.097231,-0.0584,0.0892,0.9880,0.99
0.101415,-0.0557,0.0877,0.9846,0.99
0.102372,-0.0530,0.0875,0.9821,0.99
0.105298,-0.0503,0.0855,0.9802,0.99
0.107088,-0.0469,0.0833,0.9777,0.98
0.111710,-0.0428,0.0814,0.9767,0.98
0.114842,-0.0274,0.0750,0.9758,0.98
0.117759,-0.0220,0.0738,0.9758,0.98
0.119062,-0.0178,0.0735,0.9762,0.98
0.121944,-0.0144,0.0726,0.9772,0.98
0.123171,-0.0122,0.0726,0.9784,0.98
0.128673,-0.0081,0.0740,0.9799,0.98
0.131733,-0.0046,0.0760,0.9831,0.99
0.134826,-0.0039,0.0799,0.9858,0.99
0.135183,-0.0044,0.0823,0.9885,0.99
0.139321,-0.0061,0.0850,0.9919,1.00
0.139557,-0.0081,0.0867,0.9929,1.00
0.145563,-0.0103,0.0884,0.9938,1.00
0.148356,-0.0156,0.0894,0.9990,1.00
0.150622,-0.0169,0.0904,1.0012,1.01
0.151757,-0.0193,0.0906,1.0036,1.01
0.154491,-0.0217,0.0906,1.0046,1.01
0.156099,-0.0230,0.0909,1.0058,1.01
0.162157,-0.0242,0.0911,1.0078,1.01
0.164292,-0.0288,0.0914,1.0085,1.01
0.167191,-0.0308,0.0919,1.0083,1.01
0.168535,-0.0313,0.0914,1.0090,1.01
0.171254,-0.0315,0.0906,1.0075,1.01
0.172651,-0.0330,0.0897,1.0058,1.01
0.178748,-0.0349,0.0889,1.0053,1.01
0.180894,-0.0388,0.0877,1.0048,1.01
0.183690,-0.0398,0.0870,1.0048,1.01
0.184858,-0.0401,0.0865,1.0048,1.01
0.187757,-0.0401,0.0845,1.0046,1.01
0.188953,-0.0396,0.0831,1.0048,1.01
0.195878,-0.0391,0.0821,1.0056,1.01
0.197995,-0.0403,0.0796,1.0085,1.01
0.200684,-0.0408,0.0779,1.0092,1.01
0.204337,-0.0425,0.0767,1.0136,1.02
0.205386,-0.0437,0.0772,1.0166,1.02
0.213618,-0.0442,0.0770,1.0178,1.02
0.217094,-0.0474,0.0787,1.0188,1.02
0.217853,-0.0474,0.0792,1.0180,1.02
0.220600,-0.0464,0.0804,1.0163,1.02
0.221898,-0.0452,0.0809,1.0141,1.02
0.229281,-0.0442,0.0806,1.0114,1.02
0.233981,-0.0374,0.0796,1.0046,1.01
0.234557,-0.0359,0.0794,1.0034,1.01
0.236740,-0.0344,0.0787,1.0014,1.01
0.238226,-0.0327,0.0777,1.0002,1.00
0.247056,-0.0318,0.0767,0.9999,1.00
0.249506,-0.0288,0.0740,0.9965,1.00
0.253705,-0.0291,0.0726,0.9953,1.00
0.254868,-0.0281,0.0718,0.9951,1.00
0.263023,-0.0274,0.0711,0.9946,1.00
0.265907,-0.0269,0.0696,0.9970,1.00
0.267157,-0.0257,0.0694,0.9965,1.00
0.270083,-0.0249,0.0708,0.9960,1.00
0.271210,-0.0249,0.0713,0.9960,1.00
0.279362,-0.0252,0.0711,0.9965,1.00
0.282235,-0.0283,0.0735,0.9912,0.99
0.283749,-0.0293,0.0728,0.9892,0.99
